=== hold_monitor start ===
03:34:25 r1: mt8=200 mt32k=200 mt128k=200
03:38:32 r2: mt8=200 mt32k=200 mt128k=200
03:42:40 r3: mt8=200 mt32k=200 mt128k=200
03:46:47 r4: mt8=200 mt32k=200 mt128k=200
03:50:55 r5: mt8=200 mt32k=200 mt128k=200
03:55:03 r6: mt8=200 mt32k=200 mt128k=200
03:59:10 r7: mt8=200 mt32k=200 mt128k=200
04:03:18 r8: mt8=200 mt32k=200 mt128k=200
04:07:19 r9: mt8=401 mt32k=401 mt128k=401
04:11:20 r10: mt8=401 mt32k=401 mt128k=401
04:15:21 r11: mt8=401 mt32k=401 mt128k=401
04:19:22 r12: mt8=401 mt32k=401 mt128k=401
04:23:24 r13: mt8=401 mt32k=401 mt128k=401
04:27:25 r14: mt8=401 mt32k=401 mt128k=401
04:31:26 r15: mt8=401 mt32k=401 mt128k=401
04:35:27 r16: mt8=401 mt32k=401 mt128k=401
04:39:28 r17: mt8=401 mt32k=401 mt128k=401
04:43:29 r18: mt8=401 mt32k=401 mt128k=401
04:47:30 r19: mt8=401 mt32k=401 mt128k=401
04:51:31 r20: mt8=401 mt32k=401 mt128k=401
04:55:33 r21: mt8=401 mt32k=401 mt128k=401
04:59:34 r22: mt8=401 mt32k=401 mt128k=401
05:03:35 r23: mt8=401 mt32k=401 mt128k=401
05:07:36 r24: mt8=401 mt32k=401 mt128k=401
